daar,daarta,daaro,house
gees,geesta,geeso,side
laf,lafta,lafo,bone
lug,lugta,luɣo,leg
naag,naagta,naaɣo,woman
tib,tibta,tiβo,pestle
sab,sabta,saβo,outcast
bad,bada,baðo,sea - bad
d͡ʒid,d͡ʒida,d͡ʒiðo,person
feeɖ,feeɖa,feeʐo,rib
ʕiir,ʕiirta,ʕiiro,buttermilk
ʔul,ʔuʃa,ʔulo,stick
bil,biʃa,bilo,month
meel,meeʃa,meelo,place
kaliil,kaliiʃa,kaliilo,summer
najl,najʃa,najlo,female lamb
sun,sunta,sumo,poison
laan,laanta,laamo,branch
sin,sinta,simo,hip
dan,danta,dano,affair
daan,daanta,daano,river bank
saan,saanta,saano,hide
nirig,nirigta,nirgo,babj female camel
gaβaɖ,gaβaɖa,gabɖo,girl
hoɣol,hoɣoʃa,hoglo,downpour
baɣal,baɣaʃa,baglo,mule
wah̵ar,wah̵arta,wah̵aro,female kid
irbad,irbada,irbaðo,needle
kefed,kefeda,kefeðo,pan
d͡ʒilin,d͡ʒilinta,d͡ʒilino,female dwarf
bohol,bohoʃa,boholo,hole
jirid,jirida,jirdo,trunk
ʔaajad,ʔaajada,ʔaajaðo,miracle
gaʕan,gaʕanta,gaʕmo,hand
ʔinan,ʔinanta,ʔinano,daughter
